,timestamp,type,value
0,2025-02-23 00:00:00,supply,4.95
1,2025-02-23 00:15:00,supply,4.95
2,2025-02-23 00:30:00,supply,4.5
3,2025-02-23 00:45:00,supply,4.95
4,2025-02-23 01:00:00,supply,5.85
5,2025-02-23 01:15:00,supply,5.85
6,2025-02-23 01:30:00,supply,5.4
7,2025-02-23 01:45:00,supply,5.4
8,2025-02-23 02:00:00,supply,6.3
9,2025-02-23 02:15:00,supply,6.75
10,2025-02-23 02:30:00,supply,6.75
11,2025-02-23 02:45:00,supply,5.85
12,2025-02-23 03:00:00,supply,7.2
13,2025-02-23 03:15:00,supply,6.75
14,2025-02-23 03:30:00,supply,7.65
15,2025-02-23 03:45:00,supply,7.2
16,2025-02-23 04:00:00,supply,7.2
17,2025-02-23 04:15:00,supply,7.2
18,2025-02-23 04:30:00,supply,6.3
19,2025-02-23 04:45:00,supply,5.85
20,2025-02-23 05:00:00,supply,5.4
21,2025-02-23 05:15:00,supply,5.4
22,2025-02-23 05:30:00,supply,6.3
23,2025-02-23 05:45:00,supply,6.75
24,2025-02-23 06:00:00,supply,5.85
25,2025-02-23 06:15:00,supply,5.85
26,2025-02-23 06:30:00,supply,4.95
27,2025-02-23 06:45:00,supply,5.85
28,2025-02-23 07:00:00,supply,5.85
29,2025-02-23 07:15:00,supply,5.85
30,2025-02-23 07:30:00,supply,6.75
31,2025-02-23 07:45:00,supply,7.2
32,2025-02-23 08:00:00,supply,7.2
33,2025-02-23 08:15:00,supply,7.2
34,2025-02-23 08:30:00,supply,6.75
35,2025-02-23 08:45:00,supply,7.2
36,2025-02-23 09:00:00,supply,5.85
37,2025-02-23 09:15:00,supply,5.85
38,2025-02-23 09:30:00,supply,6.75
39,2025-02-23 09:45:00,supply,7.65
40,2025-02-23 10:00:00,supply,7.65
41,2025-02-23 10:15:00,supply,7.65
42,2025-02-23 10:30:00,supply,8.1
43,2025-02-23 10:45:00,supply,7.2
44,2025-02-23 11:00:00,supply,7.65
45,2025-02-23 11:15:00,supply,7.65
46,2025-02-23 11:30:00,supply,7.65
47,2025-02-23 11:45:00,supply,9.45
48,2025-02-23 12:00:00,supply,9.9
49,2025-02-23 12:15:00,supply,9.45
50,2025-02-23 12:30:00,supply,7.2
51,2025-02-23 12:45:00,supply,6.75
52,2025-02-23 13:00:00,supply,6.3
53,2025-02-23 13:15:00,supply,5.85
54,2025-02-23 13:30:00,supply,5.4
55,2025-02-23 13:45:00,supply,5.4
56,2025-02-23 14:00:00,supply,4.95
57,2025-02-23 14:15:00,supply,4.05
58,2025-02-23 14:30:00,supply,2.25
59,2025-02-23 14:45:00,supply,4.05
60,2025-02-23 15:00:00,supply,2.25
61,2025-02-23 15:15:00,supply,3.6
62,2025-02-23 15:30:00,supply,4.5
63,2025-02-23 15:45:00,supply,7.2
64,2025-02-23 16:00:00,supply,3.15
65,2025-02-23 16:15:00,supply,4.05
66,2025-02-23 16:30:00,supply,5.85
67,2025-02-23 16:45:00,supply,3.6
68,2025-02-23 17:00:00,supply,2.7
69,2025-02-23 17:15:00,supply,4.95
70,2025-02-23 17:30:00,supply,5.4
71,2025-02-23 17:45:00,supply,6.3
72,2025-02-23 18:00:00,supply,5.85
73,2025-02-23 18:15:00,supply,5.85
74,2025-02-23 18:30:00,supply,6.75
75,2025-02-23 18:45:00,supply,7.2
76,2025-02-23 19:00:00,supply,6.3
77,2025-02-23 19:15:00,supply,6.75
78,2025-02-23 19:30:00,supply,6.75
79,2025-02-23 19:45:00,supply,7.2
80,2025-02-23 20:00:00,supply,6.3
81,2025-02-23 20:15:00,supply,6.3
82,2025-02-23 20:30:00,supply,6.3
83,2025-02-23 20:45:00,supply,7.2
84,2025-02-23 21:00:00,supply,7.2
85,2025-02-23 21:15:00,supply,7.2
86,2025-02-23 21:30:00,supply,6.3
87,2025-02-23 21:45:00,supply,5.85
88,2025-02-23 22:00:00,supply,5.4
89,2025-02-23 22:15:00,supply,5.4
90,2025-02-23 22:30:00,supply,5.4
91,2025-02-23 22:45:00,supply,5.85
92,2025-02-23 23:00:00,supply,5.4
93,2025-02-23 23:15:00,supply,5.85
94,2025-02-23 23:30:00,supply,6.3
95,2025-02-23 23:45:00,supply,7.65
96,2025-02-24 00:00:00,supply,8.1
97,2025-02-24 00:15:00,supply,7.65
98,2025-02-24 00:30:00,supply,5.85
99,2025-02-24 00:45:00,supply,6.3
100,2025-02-24 01:00:00,supply,7.2
101,2025-02-24 01:15:00,supply,7.2
102,2025-02-24 01:30:00,supply,7.2
103,2025-02-24 01:45:00,supply,7.2
104,2025-02-24 02:00:00,supply,6.75
105,2025-02-24 02:15:00,supply,8.1
106,2025-02-24 02:30:00,supply,7.65
107,2025-02-24 02:45:00,supply,8.1
108,2025-02-24 03:00:00,supply,8.1
109,2025-02-24 03:15:00,supply,7.2
110,2025-02-24 03:30:00,supply,7.65
111,2025-02-24 03:45:00,supply,6.75
112,2025-02-24 04:00:00,supply,7.65
113,2025-02-24 04:15:00,supply,7.65
114,2025-02-24 04:30:00,supply,6.75
115,2025-02-24 04:45:00,supply,5.85
116,2025-02-24 05:00:00,supply,6.3
117,2025-02-24 05:15:00,supply,5.4
118,2025-02-24 05:30:00,supply,6.3
119,2025-02-24 05:45:00,supply,7.65
120,2025-02-24 06:00:00,supply,6.3
121,2025-02-24 06:15:00,supply,7.65
122,2025-02-24 06:30:00,supply,7.2
123,2025-02-24 06:45:00,supply,7.65
124,2025-02-24 07:00:00,supply,7.65
125,2025-02-24 07:15:00,supply,9.0
126,2025-02-24 07:30:00,supply,8.1
127,2025-02-24 07:45:00,supply,7.65
128,2025-02-24 08:00:00,supply,6.3
129,2025-02-24 08:15:00,supply,6.75
130,2025-02-24 08:30:00,supply,6.3
131,2025-02-24 08:45:00,supply,6.75
132,2025-02-24 09:00:00,supply,7.65
133,2025-02-24 09:15:00,supply,8.1
134,2025-02-24 09:30:00,supply,7.2
135,2025-02-24 09:45:00,supply,5.85
136,2025-02-24 10:00:00,supply,6.3
137,2025-02-24 10:15:00,supply,7.65
138,2025-02-24 10:30:00,supply,9.0
139,2025-02-24 10:45:00,supply,9.9
140,2025-02-24 11:00:00,supply,9.45
141,2025-02-24 11:15:00,supply,8.55
142,2025-02-24 11:30:00,supply,8.55
143,2025-02-24 11:45:00,supply,7.2
144,2025-02-24 12:00:00,supply,7.2
145,2025-02-24 12:15:00,supply,5.85
146,2025-02-24 12:30:00,supply,8.1
147,2025-02-24 12:45:00,supply,8.1
148,2025-02-24 13:00:00,supply,7.2
149,2025-02-24 13:15:00,supply,7.2
150,2025-02-24 13:30:00,supply,6.75
151,2025-02-24 13:45:00,supply,6.75
152,2025-02-24 14:00:00,supply,8.55
153,2025-02-24 14:15:00,supply,7.65
154,2025-02-24 14:30:00,supply,8.55
155,2025-02-24 14:45:00,supply,6.75
156,2025-02-24 15:00:00,supply,7.2
157,2025-02-24 15:15:00,supply,6.75
158,2025-02-24 15:30:00,supply,8.1
159,2025-02-24 15:45:00,supply,8.1
160,2025-02-24 16:00:00,supply,8.1
161,2025-02-24 16:15:00,supply,8.1
162,2025-02-24 16:30:00,supply,8.55
163,2025-02-24 16:45:00,supply,8.1
164,2025-02-24 17:00:00,supply,8.1
165,2025-02-24 17:15:00,supply,8.55
166,2025-02-24 17:30:00,supply,8.1
167,2025-02-24 17:45:00,supply,7.65
168,2025-02-24 18:00:00,supply,7.2
169,2025-02-24 18:15:00,supply,7.2
170,2025-02-24 18:30:00,supply,7.65
171,2025-02-24 18:45:00,supply,6.75
172,2025-02-24 19:00:00,supply,5.85
173,2025-02-24 19:15:00,supply,6.3
174,2025-02-24 19:30:00,supply,6.3
175,2025-02-24 19:45:00,supply,5.85
176,2025-02-24 20:00:00,supply,5.85
177,2025-02-24 20:15:00,supply,5.85
178,2025-02-24 20:30:00,supply,7.2
179,2025-02-24 20:45:00,supply,7.65
180,2025-02-24 21:00:00,supply,8.1
181,2025-02-24 21:15:00,supply,6.75
182,2025-02-24 21:30:00,supply,5.4
183,2025-02-24 21:45:00,supply,5.85
184,2025-02-24 22:00:00,supply,5.85
185,2025-02-24 22:15:00,supply,5.85
186,2025-02-24 22:30:00,supply,4.95
187,2025-02-24 22:45:00,supply,5.85
188,2025-02-24 23:00:00,supply,5.4
189,2025-02-24 23:15:00,supply,5.4
190,2025-02-24 23:30:00,supply,6.75
191,2025-02-24 23:45:00,supply,6.3
192,2025-02-25 00:00:00,supply,7.2
193,2025-02-25 00:15:00,supply,5.85
194,2025-02-25 00:30:00,supply,5.4
195,2025-02-25 00:45:00,supply,5.4
196,2025-02-25 01:00:00,supply,4.95
197,2025-02-25 01:15:00,supply,4.95
198,2025-02-25 01:30:00,supply,5.4
199,2025-02-25 01:45:00,supply,5.4
200,2025-02-25 02:00:00,supply,6.75
201,2025-02-25 02:15:00,supply,7.2
